Date,Rate
1953-04-16,2.83
1953-05-16,3.05
1953-06-16,3.11
1953-07-16,2.93
1953-08-16,2.95
1953-09-16,2.87
1953-10-16,2.66
1953-11-16,2.68
1953-12-16,2.59
1954-01-16,2.48
1954-02-16,2.47
1954-03-16,2.37
1954-04-16,2.29
1954-05-16,2.37
1954-06-16,2.38
1954-07-16,2.30
1954-08-16,2.36
1954-09-16,2.38
1954-10-16,2.43
1954-11-16,2.48
1954-12-16,2.51
1955-01-16,2.61
1955-02-16,2.65
1955-03-16,2.68
1955-04-16,2.75
1955-05-16,2.76
1955-06-16,2.78
1955-07-16,2.90
1955-08-16,2.97
1955-09-16,2.97
1955-10-16,2.88
1955-11-16,2.89
1955-12-16,2.96
1956-01-16,2.90
1956-02-16,2.84
1956-03-16,2.96
1956-04-16,3.18
1956-05-16,3.07
1956-06-16,3.00
1956-07-16,3.11
1956-08-16,3.33
1956-09-16,3.38
1956-10-16,3.34
1956-11-16,3.49
1956-12-16,3.59
1957-01-16,3.46
1957-02-16,3.34
1957-03-16,3.41
1957-04-16,3.48
1957-05-16,3.60
1957-06-16,3.80
1957-07-16,3.93
1957-08-16,3.93
1957-09-16,3.92
1957-10-16,3.97
1957-11-16,3.72
1957-12-16,3.21
1958-01-16,3.09
1958-02-16,3.05
1958-03-16,2.98
1958-04-16,2.88
1958-05-16,2.92
1958-06-16,2.97
1958-07-16,3.20
1958-08-16,3.54
1958-09-16,3.76
1958-10-16,3.80
1958-11-16,3.74
1958-12-16,3.86
1959-01-16,4.02
1959-02-16,3.96
1959-03-16,3.99
1959-04-16,4.12
1959-05-16,4.31
1959-06-16,4.34
1959-07-16,4.40
1959-08-16,4.43
1959-09-16,4.68
1959-10-16,4.53
1959-11-16,4.53
1959-12-16,4.69
1960-01-16,4.72
1960-02-16,4.49
1960-03-16,4.25
1960-04-16,4.28
1960-05-16,4.35
1960-06-16,4.15
1960-07-16,3.90
1960-08-16,3.80
1960-09-16,3.80
1960-10-16,3.89
1960-11-16,3.93
1960-12-16,3.84
1961-01-16,3.84
1961-02-16,3.78
1961-03-16,3.74
1961-04-16,3.78
1961-05-16,3.71
1961-06-16,3.88
1961-07-16,3.92
1961-08-16,4.04
1961-09-16,3.98
1961-10-16,3.92
1961-11-16,3.94
1961-12-16,4.06
1962-01-16,4.08
1962-02-16,4.04
1962-03-16,3.93
1962-04-16,3.84
1962-05-16,3.87
1962-06-16,3.91
1962-07-16,4.01
1962-08-16,3.98
1962-09-16,3.98
1962-10-16,3.93
1962-11-16,3.92
1962-12-16,3.86
1963-01-16,3.83
1963-02-16,3.92
1963-03-16,3.93
1963-04-16,3.97
1963-05-16,3.93
1963-06-16,3.99
1963-07-16,4.02
1963-08-16,4.00
1963-09-16,4.08
1963-10-16,4.11
1963-11-16,4.12
1963-12-16,4.13
1964-01-16,4.17
1964-02-16,4.15
1964-03-16,4.22
1964-04-16,4.23
1964-05-16,4.20
1964-06-16,4.17
1964-07-16,4.19
1964-08-16,4.19
1964-09-16,4.20
1964-10-16,4.19
1964-11-16,4.15
1964-12-16,4.18
1965-01-16,4.19
1965-02-16,4.21
1965-03-16,4.21
1965-04-16,4.20
1965-05-16,4.21
1965-06-16,4.21
1965-07-16,4.20
1965-08-16,4.25
1965-09-16,4.29
1965-10-16,4.35
1965-11-16,4.45
1965-12-16,4.62
1966-01-16,4.61
1966-02-16,4.83
1966-03-16,4.87
1966-04-16,4.75
1966-05-16,4.78
1966-06-16,4.81
1966-07-16,5.02
1966-08-16,5.22
1966-09-16,5.18
1966-10-16,5.01
1966-11-16,5.16
1966-12-16,4.84
1967-01-16,4.58
1967-02-16,4.63
1967-03-16,4.54
1967-04-16,4.59
1967-05-16,4.85
1967-06-16,5.02
1967-07-16,5.16
1967-08-16,5.28
1967-09-16,5.30
1967-10-16,5.48
1967-11-16,5.75
1967-12-16,5.70
1968-01-16,5.53
1968-02-16,5.56
1968-03-16,5.74
1968-04-16,5.64
1968-05-16,5.87
1968-06-16,5.72
1968-07-16,5.50
1968-08-16,5.42
1968-09-16,5.46
1968-10-16,5.58
1968-11-16,5.70
1968-12-16,6.03
1969-01-16,6.04
1969-02-16,6.19
1969-03-16,6.30
1969-04-16,6.17
1969-05-16,6.32
1969-06-16,6.57
1969-07-16,6.72
1969-08-16,6.69
1969-09-16,7.16
1969-10-16,7.10
1969-11-16,7.14
1969-12-16,7.65
1970-01-16,7.79
1970-02-16,7.24
1970-03-16,7.07
1970-04-16,7.39
1970-05-16,7.91
1970-06-16,7.84
1970-07-16,7.46
1970-08-16,7.53
1970-09-16,7.39
1970-10-16,7.33
1970-11-16,6.84
1970-12-16,6.39
1971-01-16,6.24
1971-02-16,6.11
1971-03-16,5.70
1971-04-16,5.83
1971-05-16,6.39
1971-06-16,6.52
1971-07-16,6.73
1971-08-16,6.58
1971-09-16,6.14
1971-10-16,5.93
1971-11-16,5.81
1971-12-16,5.93
1972-01-16,5.95
1972-02-16,6.08
1972-03-16,6.07
1972-04-16,6.19
1972-05-16,6.13
1972-06-16,6.11
1972-07-16,6.11
1972-08-16,6.21
1972-09-16,6.55
1972-10-16,6.48
1972-11-16,6.28
1972-12-16,6.36
1973-01-16,6.46
1973-02-16,6.64
1973-03-16,6.71
1973-04-16,6.67
1973-05-16,6.85
1973-06-16,6.90
1973-07-16,7.13
1973-08-16,7.40
1973-09-16,7.09
1973-10-16,6.79
1973-11-16,6.73
1973-12-16,6.74
1974-01-16,6.99
1974-02-16,6.96
1974-03-16,7.21
1974-04-16,7.51
1974-05-16,7.58
1974-06-16,7.54
1974-07-16,7.81
1974-08-16,8.04
1974-09-16,8.04
1974-10-16,7.90
1974-11-16,7.68
1974-12-16,7.43
1975-01-16,7.50
1975-02-16,7.39
1975-03-16,7.73
1975-04-16,8.23
1975-05-16,8.06
1975-06-16,7.86
1975-07-16,8.06
1975-08-16,8.40
1975-09-16,8.43
1975-10-16,8.14
1975-11-16,8.05
1975-12-16,8.00
1976-01-16,7.74
1976-02-16,7.79
1976-03-16,7.73
1976-04-16,7.56
1976-05-16,7.90
1976-06-16,7.86
1976-07-16,7.83
1976-08-16,7.77
1976-09-16,7.59
1976-10-16,7.41
1976-11-16,7.29
1976-12-16,6.87
1977-01-16,7.21
1977-02-16,7.39
1977-03-16,7.46
1977-04-16,7.37
1977-05-16,7.46
1977-06-16,7.28
1977-07-16,7.33
1977-08-16,7.40
1977-09-16,7.34
1977-10-16,7.52
1977-11-16,7.58
1977-12-16,7.69
1978-01-16,7.96
1978-02-16,8.03
1978-03-16,8.04
1978-04-16,8.15
1978-05-16,8.35
1978-06-16,8.46
1978-07-16,8.64
1978-08-16,8.41
1978-09-16,8.42
1978-10-16,8.64
1978-11-16,8.81
1978-12-16,9.01
1979-01-16,9.10
1979-02-16,9.10
1979-03-16,9.12
1979-04-16,9.18
1979-05-16,9.25
1979-06-16,8.91
1979-07-16,8.95
1979-08-16,9.03
1979-09-16,9.33
1979-10-16,10.30
1979-11-16,10.65
1979-12-16,10.39
1980-01-16,10.80
1980-02-16,12.41
1980-03-16,12.75
1980-04-16,11.47
1980-05-16,10.18
1980-06-16,9.78
1980-07-16,10.25
1980-08-16,11.10
1980-09-16,11.51
1980-10-16,11.75
1980-11-16,12.68
1980-12-16,12.84
1981-01-16,12.57
1981-02-16,13.19
1981-03-16,13.12
1981-04-16,13.68
1981-05-16,14.10
1981-06-16,13.47
1981-07-16,14.28
1981-08-16,14.94
1981-09-16,15.32
1981-10-16,15.15
1981-11-16,13.39
1981-12-16,13.72
1982-01-16,14.59
1982-02-16,14.43
1982-03-16,13.86
1982-04-16,13.87
1982-05-16,13.62
1982-06-16,14.30
1982-07-16,13.95
1982-08-16,13.06
1982-09-16,12.34
1982-10-16,10.91
1982-11-16,10.55
1982-12-16,10.54
1983-01-16,10.46
1983-02-16,10.72
1983-03-16,10.51
1983-04-16,10.40
1983-05-16,10.38
1983-06-16,10.85
1983-07-16,11.38
1983-08-16,11.85
1983-09-16,11.65
1983-10-16,11.54
1983-11-16,11.69
1983-12-16,11.83
1984-01-16,11.67
1984-02-16,11.84
1984-03-16,12.32
1984-04-16,12.63
1984-05-16,13.41
1984-06-16,13.56
1984-07-16,13.36
1984-08-16,12.72
1984-09-16,12.52
1984-10-16,12.16
1984-11-16,11.57
1984-12-16,11.50
1985-01-16,11.38
1985-02-16,11.51
1985-03-16,11.86
1985-04-16,11.43
1985-05-16,10.85
1985-06-16,10.16
1985-07-16,10.31
1985-08-16,10.33
1985-09-16,10.37
1985-10-16,10.24
1985-11-16,9.78
1985-12-16,9.26
1986-01-16,9.19
1986-02-16,8.70
1986-03-16,7.78
1986-04-16,7.30
1986-05-16,7.71
1986-06-16,7.80
1986-07-16,7.30
1986-08-16,7.17
1986-09-16,7.45
1986-10-16,7.43
1986-11-16,7.25
1986-12-16,7.11
1987-01-16,7.08
1987-02-16,7.25
1987-03-16,7.25
1987-04-16,8.02
1987-05-16,8.61
1987-06-16,8.40
1987-07-16,8.45
1987-08-16,8.76
1987-09-16,9.42
1987-10-16,9.52
1987-11-16,8.86
1987-12-16,8.99
1988-01-16,8.67
1988-02-16,8.21
1988-03-16,8.37
1988-04-16,8.72
1988-05-16,9.09
1988-06-16,8.92
1988-07-16,9.06
1988-08-16,9.26
1988-09-16,8.98
1988-10-16,8.80
1988-11-16,8.96
1988-12-16,9.11
1989-01-16,9.09
1989-02-16,9.17
1989-03-16,9.36
1989-04-16,9.18
1989-05-16,8.86
1989-06-16,8.28
1989-07-16,8.02
1989-08-16,8.11
1989-09-16,8.19
1989-10-16,8.01
1989-11-16,7.87
1989-12-16,7.84
1990-01-16,8.21
1990-02-16,8.47
1990-03-16,8.59
1990-04-16,8.79
1990-05-16,8.76
1990-06-16,8.48
1990-07-16,8.47
1990-08-16,8.75
1990-09-16,8.89
1990-10-16,8.72
1990-11-16,8.39
1990-12-16,8.08
1991-01-16,8.09
1991-02-16,7.85
1991-03-16,8.11
1991-04-16,8.04
1991-05-16,8.07
1991-06-16,8.28
1991-07-16,8.27
1991-08-16,7.90
1991-09-16,7.65
1991-10-16,7.53
1991-11-16,7.42
1991-12-16,7.09
1992-01-16,7.03
1992-02-16,7.34
1992-03-16,7.54
1992-04-16,7.48
1992-05-16,7.39
1992-06-16,7.26
1992-07-16,6.84
1992-08-16,6.59
1992-09-16,6.42
1992-10-16,6.59
1992-11-16,6.87
1992-12-16,6.77
1993-01-16,6.60
1993-02-16,6.26
1993-03-16,5.98
1993-04-16,5.97
1993-05-16,6.04
1993-06-16,5.96
1993-07-16,5.81
1993-08-16,5.68
1993-09-16,5.36
1993-10-16,5.33
1993-11-16,5.72
1993-12-16,5.77
1994-01-16,5.75
1994-02-16,5.97
1994-03-16,6.48
1994-04-16,6.97
1994-05-16,7.18
1994-06-16,7.10
1994-07-16,7.30
1994-08-16,7.24
1994-09-16,7.46
1994-10-16,7.74
1994-11-16,7.96
1994-12-16,7.81
1995-01-16,7.78
1995-02-16,7.47
1995-03-16,7.20
1995-04-16,7.06
1995-05-16,6.63
1995-06-16,6.17
1995-07-16,6.28
1995-08-16,6.49
1995-09-16,6.20
1995-10-16,6.04
1995-11-16,5.93
1995-12-16,5.71
1996-01-16,5.65
1996-02-16,5.81
1996-03-16,6.27
1996-04-16,6.51
1996-05-16,6.74
1996-06-16,6.91
1996-07-16,6.87
1996-08-16,6.64
1996-09-16,6.83
1996-10-16,6.53
1996-11-16,6.20
1996-12-16,6.30
1997-01-16,6.58
1997-02-16,6.42
1997-03-16,6.69
1997-04-16,6.89
1997-05-16,6.71
1997-06-16,6.49
1997-07-16,6.22
1997-08-16,6.30
1997-09-16,6.21
1997-10-16,6.03
1997-11-16,5.88
1997-12-16,5.81
1998-01-16,5.54
1998-02-16,5.57
1998-03-16,5.65
1998-04-16,5.64
1998-05-16,5.65
1998-06-16,5.50
1998-07-16,5.46
1998-08-16,5.34
1998-09-16,4.81
1998-10-16,4.53
1998-11-16,4.83
1998-12-16,4.65
1999-01-16,4.72
1999-02-16,5.00
1999-03-16,5.23
1999-04-16,5.18
1999-05-16,5.54
1999-06-16,5.90
